rt,stimulus,response,list_number,prime_condition,subject_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version
30267,"<h2>Instructions</h2> A trivia question will appear on the screen, followed by a word shown very quickly. After seeing the word, you will be asked if you know the answer, don’t know the answer, have another word in mind, or if the answer is at the tip of you tongue. Once you indicate what state you are in, you will be asked to type the answer to the trivia question. <br> <br> Click Next to continue.",0,,,98127,html-button-response,0,30269,0.0-0.0,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
null,Instrument for performing calculations by sliding beads along rods or grooves,null,2,unrelated,98127,html-keyboard-response,1,35272,0.0-1.0-0.0,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
null,CAT,null,2,unrelated,98127,html-keyboard-response,2,35526,0.0-1.0-1.0,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
1275,Do you know the answer?,1,2,unrelated,98127,html-button-response,3,36804,0.0-1.0-2.0,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
3403,,"{""Q0"":""slide rule""}",2,unrelated,98127,survey-text,4,40218,0.0-1.0-3.0,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
null,Last name of JFK's assassin,null,2,both,98127,html-keyboard-response,5,45220,0.0-1.0-0.1,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
null,OSBORNE,null,2,both,98127,html-keyboard-response,6,45483,0.0-1.0-1.1,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
2707,Do you know the answer?,1,2,both,98127,html-button-response,7,48191,0.0-1.0-2.1,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
4257,,"{""Q0"":""booth""}",2,both,98127,survey-text,8,52459,0.0-1.0-3.1,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
null,Capital of Finland,null,2,semantic,98127,html-keyboard-response,9,57461,0.0-1.0-0.2,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
null,OSLO,null,2,semantic,98127,html-keyboard-response,10,57715,0.0-1.0-1.2,1,1,10/4/22 1:39,e213d28a7eea9daf8325f052cf88a625,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Safari/605.1.15",Macintosh,Safari,16,OS X,10_15_7
